CHORD_ROOT,CHORD_TYPE,FINGER_POSITIONS,CHORD_STRUCTURE,DIFFICULTY
C#,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
C#,7(#9),"x,2,1,3,4,x",1;3;5;b7;#9,advanced
C#,7(#9),"2,1,3,3,3,x",1;3;5;b7;#9,advanced
C#,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
C#,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
C#,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
C#,9,"x,x,2,1,3,4",1;3;5;b7;9,advanced
C#,9,"x,2,1,3,3,3",1;3;5;b7;9,advanced
C#,9,"x,x,3,2,1,4",1;3;5;b7;9,advanced
C#,9b5,"1,2,1,3,4,1",1;3;b5;b7;9,advanced
C#,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
C#,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
C#,7,"x,3,2,4,1,x",1;3;5;b7,intermediate
C#,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
C#,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
C#,7,"x,x,2,3,1,4",1;3;5;b7,intermediate
C#,7,"x,2,1,3,0,4",1;3;5;b7,intermediate
C#,7,"2,x,3,4,1,x",1;3;5;b7,intermediate
C#,7,"1,3,1,2,1,1",1;3;5;b7,intermediate
C#,7,"x,2,1,3,x,x",1;3;5;b7,beginner
C#,7,"1,x,1,2,x,x",1;3;5;b7,beginner
C#,7,"x,x,1,1,1,2",1;3;5;b7,intermediate
C#,7,"x,x,1,3,2,4",1;3;5;b7,intermediate
C#,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
C#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
C#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
C#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
C#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
C#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
C#,dim7,"2,x,1,3,x,x",1;b3;b5;bb7,intermediate
C#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
C#,dim7,"3,x,1,4,2,x",1;b3;b5;bb7,advanced
C#,dim7,"x,3,1,2,x,x",1;b3;b5;bb7,intermediate
C#,dim7,"x,2,3,1,4,1",1;b3;b5;bb7,advanced
C#,aug,"x,3,2,1,1,x",1;3;#5,advanced
C#,aug,"4,3,2,1,x,x",1;3;#5,advanced
C#,aug,"x,x,4,2,3,1",1;3;#5,advanced
C#,maj,"x,4,3,1,2,1",1;3;5,intermediate
C#,maj,"x,1,3,3,3,x",1;3;5,intermediate
C#,maj,"1,3,4,2,1,1",1;3;5,intermediate
C#,maj,"x,x,3,3,3,x",1;3;5,beginner
C#,maj,"x,1,2,3,4,1",1;3;5,intermediate
C#,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
C#,11,"4,x,3,2,1,1",1;3;5;b7;9;11,advanced
C#,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
C#,maj9,"x,2,1,4,3,x",1;3;5;7;9,advanced
C#,maj9,"2,1,3,1,x,x",1;3;5;7;9,advanced
C#,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
C#,m11,"x,1,1,1,2,1",1;b3;5;b7;9;11,advanced
C#,m11,"2,x,3,4,1,x",1;b3;5;b7;9;11,advanced
C#,m11,"0,1,1,1,2,1",1;b3;5;b7;9;11,advanced
C#,m11,"x,1,1,1,2,x",1;b3;5;b7;9;11,advanced
C#,m11,"x,2,1,3,1,1",1;b3;5;b7;9;11,advanced
C#,m11,"x,2,1,3,4,1",1;b3;5;b7;9;11,advanced
C#,m11,"2,x,3,4,1,1",1;b3;5;b7;9;11,advanced
C#,m7b5,"x,3,1,0,0,0",1;b3;b5;b7,advanced
C#,m7b5,"x,1,3,2,4,0",1;b3;b5;b7,advanced
C#,m7b5,"2,x,3,4,1,x",1;b3;b5;b7,advanced
C#,m7b5,"x,1,3,2,4,x",1;b3;b5;b7,advanced
C#,m7b5,"x,x,1,3,3,3",1;b3;b5;b7,advanced
C#,m7b5,"x,1,3,2,4,x",1;b3;b5;b7,advanced
C#,m,"x,1,3,4,2,1",1;b3;5,intermediate
C#,m,"1,3,4,1,1,1",1;b3;5,intermediate
C#,m,"x,x,1,3,4,2",1;b3;5,intermediate
C#,m,"x,1,3,4,2,x",1;b3;5,intermediate
C#,m,"x,3,4,1,1,x",1;b3;5,intermediate
C#,m,"x,3,1,x,x,x",1;b3;5,beginner
C#,m,"3,1,x,x,x,x",1;b3;5,beginner
C#,m,"x,x,3,1,1,1",1;b3;5,intermediate
C#,7b5,"x,1,2,1,3,x",1;3;b5;b7,advanced
C#,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
C#,7b5,"1,3,2,4,x,x",1;3;b5;b7,advanced
C#,9(#11),"x,2,1,3,4,1",1;3;5;b7;9;#11,advanced
C#,m7,"x,3,1,4,1,x",1;b3;5;b7,advanced
C#,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
C#,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
C#,m7,"1,3,1,1,1,1",1;b3;5;b7,advanced
C#,m7,"2,x,3,3,x,x",1;b3;5;b7,intermediate
C#,m7,"x,2,1,3,x,x",1;b3;5;b7,intermediate
C#,m7,"2,x,3,3,3,x",1;b3;5;b7,advanced
C#,m7,"x,1,x,2,4,3",1;b3;5;b7,advanced
C#,m7,"2,1,3,4,0,0",1;b3;5;b7,advanced
C#,m7,"x,2,1,3,4,x",1;b3;5;b7,advanced
C#,m7,"x,1,3,1,2,x",1;b3;5;b7,advanced
C#,m7,"x,1,3,4,0,0",1;b3;5;b7,advanced
C#,m7,"x,1,x,1,2,4",1;b3;5;b7,advanced
C#,m7,"x,1,x,2,3,x",1;b3;5;b7,intermediate
C#,m7,"1,1,3,4,0,0",1;b3;5;b7,advanced
C#,m7,"x,3,x,x,0,0",1;b3;5;b7,intermediate
C#,m7,"1,x,1,1,1,1",1;b3;5;b7,advanced
C#,dim,"x,1,2,4,3,x",1;b3;b5,intermediate
C#,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
C#,dim,"1,2,3,1,x,x",1;b3;b5,intermediate
C#,dim,"x,2,x,0,x,1",1;b3;b5,beginner
C#,dim,"x,3,1,x,x,x",1;b3;b5,beginner
C#,6,"x,4,2,3,1,x",1;3;5;6,intermediate
C#,6,"x,1,3,3,3,3",1;3;5;6,intermediate
C#,6,"1,x,3,2,4,1",1;3;5;6,intermediate
C#,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
C#,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
C#,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
C#,7sus4,"x,2,3,4,1,x",1;4;5;b7,advanced
C#,7sus4,"x,1,3,1,4,1",1;4;5;b7,advanced
C#,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
C#,7sus4,"1,x,1,4,x,x",1;4;5;b7,intermediate
C#,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
C#,maj7,"x,1,3,2,4,1",1;3;5;7,advanced
C#,maj7,"x,x,4,3,2,1",1;3;5;7,advanced
C#,5,"x,1,3,x,x,x",1;5,beginner
C#,5,"x,1,3,4,x,x",1;5,beginner
C#,5,"1,1,3,x,x,x",1;5,beginner
C#,5,"1,3,4,x,x,x",1;5,beginner
C#,5,"x,x,1,3,4,x",1;5,beginner
C#,m6,"x,3,1,2,1,x",1;b3;5;6,advanced
C#,m6,"x,1,x,3,2,4",1;b3;5;6,advanced
C#,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
C#,m6,"3,1,2,x,x,x",1;b3;5;6,intermediate
C#,7(b9),"x,2,1,3,1,x",1;3;5;b7;b9,advanced
C#,7(b9),"3,2,4,1,x,x",1;3;5;b7;b9,advanced
C#,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
C#,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
C#,m9,"3,1,4,2,x,x",1;b3;5;b7;9,advanced
C#,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
C#,m9,"x,x,1,1,1,4",1;b3;5;b7;9,advanced
C#,m9,"2,x,1,3,4,x",1;b3;5;b7;9,advanced
C#,m9,"1,x,1,1,1,4",1;b3;5;b7;9,advanced
C#,sus4,"x,1,2,3,4,1",1;4;5,intermediate
C#,sus4,"x,x,1,1,2,4",1;4;5,intermediate
C#,sus4,"1,1,3,4,1,1",1;4;5,intermediate
C#,6-Sep,"x,2,1,1,3,4",1;3;5;6;9,advanced
C#,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
C#,6-Sep,"x,x,2,1,3,4",1;3;5;6;9,advanced
D#,13,"x,2,1,3,3,4",1;3;5;b7;9;11;13,advanced
D#,13,"3,x,4,2,1,1",1;3;5;b7;9;11;13,advanced
D#,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
D#,7(#9),"x,x,1,0,3,4",1;3;5;b7;#9,advanced
D#,7(#9),"x,2,1,3,4,x",1;3;5;b7;#9,advanced
D#,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
D#,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
D#,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
D#,9,"x,x,2,1,3,4",1;3;5;b7;9,advanced
D#,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
D#,9b5,"1,2,1,3,4,1",1;3;b5;b7;9,advanced
D#,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
D#,7,"x,3,2,4,1,x",1;3;5;b7,intermediate
D#,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
D#,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
D#,7,"x,2,1,3,x,x",1;3;5;b7,beginner
D#,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
D#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
D#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
D#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
D#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
D#,dim7,"x,2,3,1,4,1",1;b3;b5;bb7,advanced
D#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
D#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
D#,dim7,"3,x,1,4,2,x",1;b3;b5;bb7,advanced
D#,dim7,"x,0,1,3,2,4",1;b3;b5;bb7,advanced
D#,dim7,"x,0,1,3,2,4",1;b3;b5;bb7,advanced
D#,aug,"x,3,2,0,0,x",1;3;#5,advanced
D#,aug,"4,3,2,0,x,x",1;3;#5,advanced
D#,aug,"x,x,4,2,3,1",1;3;#5,advanced
D#,maj,"x,4,3,1,2,1",1;3;5,intermediate
D#,maj,"x,1,3,3,3,x",1;3;5,intermediate
D#,maj,"1,3,4,2,1,1",1;3;5,intermediate
D#,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
D#,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
D#,11,"4,x,3,2,1,1",1;3;5;b7;9;11,advanced
D#,maj9,"x,x,1,0,4,2",1;3;5;7;9,advanced
D#,maj9,"x,2,1,4,3,x",1;3;5;7;9,advanced
D#,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
D#,m11,"x,1,1,1,2,1",1;b3;5;b7;9;11,advanced
D#,m,"x,x,3,2,4,1",1;b3;5,intermediate
D#,m,"x,1,3,4,2,1",1;b3;5,intermediate
D#,m,"1,3,4,1,1,1",1;b3;5,intermediate
D#,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
D#,7b5,"x,1,2,1,3,x",1;3;b5;b7,advanced
D#,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
D#,m7,"x,3,1,4,1,x",1;b3;5;b7,advanced
D#,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
D#,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
D#,dim,"x,x,1,2,3,4",1;b3;b5,intermediate
D#,dim,"x,1,2,3,4,x",1;b3;b5,intermediate
D#,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
D#,6,"x,4,2,3,1,x",1;3;5;6,intermediate
D#,6,"x,1,3,3,3,3",1;3;5;6,intermediate
D#,6,"1,x,3,2,4,1",1;3;5;6,intermediate
D#,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
D#,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
D#,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
D#,7sus4,"x,2,3,4,1,x",1;4;5;b7,advanced
D#,7sus4,"x,1,3,1,4,1",1;4;5;b7,advanced
D#,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
D#,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
D#,maj7,"x,1,3,2,4,1",1;3;5;7,advanced
D#,maj7,"x,x,4,3,2,1",1;3;5;7,advanced
D#,5,"x,1,3,4,x,x",1;5,beginner
D#,5,"x,1,3,x,x,x",1;5,beginner
D#,5,"1,1,3,x,x,x",1;5,beginner
D#,m6,"x,3,1,2,1,x",1;b3;5;6,advanced
D#,m6,"x,1,x,3,2,4",1;b3;5;6,advanced
D#,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
D#,7(b9),"x,x,1,0,3,0",1;3;5;b7;b9,advanced
D#,7(b9),"x,2,1,3,1,x",1;3;5;b7;b9,advanced
D#,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
D#,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
D#,m9,"3,1,4,2,x,x",1;b3;5;b7;9,advanced
D#,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
D#,sus4,"x,3,4,1,2,x",1;4;5,intermediate
D#,sus4,"x,1,2,3,4,1",1;4;5,intermediate
D#,sus4,"1,1,3,4,1,1",1;4;5,intermediate
D#,6-Sep,"x,x,1,0,2,3",1;3;5;6;9,advanced
D#,6-Sep,"x,2,1,1,3,4",1;3;5;6;9,advanced
D#,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
F#,9(#5),"x,1,2,1,1,x",1;3;#5;b7;9,advanced
F#,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
F#,13,"x,2,1,3,3,4",1;3;5;b7;9;11;13,advanced
F#,13,"x,1,3,1,1,4",1;3;5;b7;9;11;13,advanced
F#,13,"1,x,2,3,4,x",1;3;5;b7;9;11;13,advanced
F#,13,"x,1,3,4,2,x",1;3;5;b7;9;11;13,advanced
F#,13,"x,x,1,2,2,4",1;3;5;b7;9;11;13,advanced
F#,7(#9),"2,1,3,3,3,3",1;3;5;b7;#9,advanced
F#,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
F#,7(#9),"x,2,1,3,4,x",1;3;5;b7;#9,advanced
F#,9,"x,x,2,1,3,4",1;3;5;b7;9,advanced
F#,9,"x,x,1,3,2,1",1;3;5;b7;9,advanced
F#,9,"x,2,1,3,4,x",1;3;5;b7;9,advanced
F#,9,"x,2,1,3,3,3",1;3;5;b7;9,advanced
F#,9,"x,x,3,2,1,4",1;3;5;b7;9,advanced
F#,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
F#,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
F#,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
F#,9b5,"1,2,1,3,4,1",1;3;b5;b7;9,advanced
F#,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
F#,7,"x,3,2,4,1,x",1;3;5;b7,intermediate
F#,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
F#,7,"1,3,1,2,1,1",1;3;5;b7,intermediate
F#,7,"1,x,2,4,3,x",1;3;5;b7,intermediate
F#,7,"x,x,x,2,1,3",1;3;5;b7,beginner
F#,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
F#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
F#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
F#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
F#,dim7,"1,2,3,1,4,1",1;b3;b5;bb7,advanced
F#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
F#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
F#,dim7,"2,x,1,3,1,x",1;b3;b5;bb7,advanced
F#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
F#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
F#,dim7,"2,x,1,3,1,x",1;b3;b5;bb7,advanced
F#,aug,"x,3,2,1,1,x",1;3;#5,advanced
F#,aug,"4,3,2,1,x,x",1;3;#5,advanced
F#,aug,"x,x,4,2,3,1",1;3;#5,advanced
F#,aug,"2,1,0,x,x,x",1;3;#5,intermediate
F#,aug,"x,3,2,1,1,x",1;3;#5,advanced
F#,maj,"1,3,4,2,1,1",1;3;5,intermediate
F#,maj,"x,4,3,1,2,1",1;3;5,intermediate
F#,maj,"x,1,3,3,3,x",1;3;5,intermediate
F#,maj,"1,3,4,2,x,x",1;3;5,intermediate
F#,maj,"x,x,3,1,2,x",1;3;5,beginner
F#,maj,"2,1,x,x,x,x",1;3;5,beginner
F#,maj,"x,x,x,1,3,2",1;3;5,beginner
F#,maj,"x,x,3,2,1,1",1;3;5,intermediate
F#,maj,"x,x,3,3,3,x",1;3;5,beginner
F#,maj,"1,3,x,2,x,x",1;3;5,beginner
F#,maj,"1,4,x,x,x,x",1;3;5,beginner
F#,11,"2,x,3,1,0,0",1;3;5;b7;9;11,advanced
F#,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
F#,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
F#,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
F#,maj9,"x,4,1,1,1,1",1;3;5;7;9,advanced
F#,maj9,"x,2,1,4,3,x",1;3;5;7;9,advanced
F#,m11,"x,3,1,4,0,0",1;b3;5;b7;9;11,advanced
F#,m11,"1,3,4,1,0,0",1;b3;5;b7;9;11,advanced
F#,m11,"x,1,1,1,2,x",1;b3;5;b7;9;11,advanced
F#,m11,"2,x,3,4,0,x",1;b3;5;b7;9;11,advanced
F#,m11,"2,x,3,4,0,0",1;b3;5;b7;9;11,advanced
F#,m11,"x,1,3,4,0,0",1;b3;5;b7;9;11,advanced
F#,m11,"x,x,3,1,4,x",1;b3;5;b7;9;11,advanced
F#,m11,"x,1,4,1,2,1",1;b3;5;b7;9;11,advanced
F#,m,"1,3,4,1,1,1",1;b3;5,intermediate
F#,m,"x,x,1,3,4,2",1;b3;5,intermediate
F#,m,"x,1,3,4,2,1",1;b3;5,intermediate
F#,m,"x,1,3,4,2,x",1;b3;5,intermediate
F#,m,"x,x,3,1,1,1",1;b3;5,intermediate
F#,7b5,"1,3,2,4,x,x",1;3;b5;b7,advanced
F#,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
F#,7b5,"x,1,2,1,3,x",1;3;b5;b7,advanced
F#,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
F#,m7,"x,x,1,4,2,3",1;b3;5;b7,advanced
F#,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
F#,m7,"1,3,1,1,1,1",1;b3;5;b7,advanced
F#,m7,"x,2,1,3,4,x",1;b3;5;b7,advanced
F#,m7,"2,x,3,3,3,x",1;b3;5;b7,advanced
F#,m7,"2,x,3,3,x,x",1;b3;5;b7,intermediate
F#,m7,"x,2,x,3,4,x",1;b3;5;b7,intermediate
F#,m7,"x,x,1,1,1,1",1;b3;5;b7,advanced
F#,m7,"1,3,1,1,1,4",1;b3;5;b7,advanced
F#,dim,"1,2,3,1,x,x",1;b3;b5,intermediate
F#,dim,"x,x,1,2,4,3",1;b3;b5,intermediate
F#,dim,"x,1,2,3,4,x",1;b3;b5,intermediate
F#,dim,"x,x,3,1,4,x",1;b3;b5,beginner
F#,dim,"2,x,4,3,1,x",1;b3;b5,intermediate
F#,dim,"x,0,1,2,4,3",1;b3;b5,intermediate
F#,6,"1,x,3,2,4,1",1;3;5;6,intermediate
F#,6,"x,4,2,3,1,x",1;3;5;6,intermediate
F#,6,"x,1,3,3,3,3",1;3;5;6,intermediate
F#,6,"2,x,1,4,3,x",1;3;5;6,intermediate
F#,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
F#,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
F#,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
F#,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
F#,7sus4,"x,2,3,4,1,x",1;4;5;b7,advanced
F#,7sus4,"x,1,3,1,4,1",1;4;5;b7,advanced
F#,7sus4,"x,x,3,4,2,0",1;4;5;b7,advanced
F#,maj7,"1,4,2,3,1,x",1;3;5;7,advanced
F#,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
F#,maj7,"x,1,3,2,4,1",1;3;5;7,advanced
F#,5,"1,3,x,x,x,x",1;5,beginner
F#,5,"1,3,4,x,x,x",1;5,beginner
F#,5,"x,1,3,4,x,x",1;5,beginner
F#,7(#11),"x,1,3,2,x,x",1;3;5;b7;#11,advanced
F#,7(#11),"2,x,3,4,1,x",1;3;5;b7;#11,advanced
F#,7(#11),"2,x,3,4,1,0",1;3;5;b7;#11,advanced
F#,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
F#,m6,"x,3,1,2,1,x",1;b3;5;6,advanced
F#,m6,"x,1,x,3,2,4",1;b3;5;6,advanced
F#,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
F#,7(b9),"x,x,2,1,3,1",1;3;5;b7;b9,advanced
F#,7(b9),"x,2,1,3,1,x",1;3;5;b7;b9,advanced
F#,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
F#,m9,"x,x,2,1,4,3",1;b3;5;b7;9,advanced
F#,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
F#,sus4,"1,1,3,4,1,1",1;4;5,intermediate
F#,sus4,"x,3,4,1,2,x",1;4;5,intermediate
F#,sus4,"x,1,2,3,4,1",1;4;5,intermediate
F#,sus4,"x,1,3,3,4,x",1;4;5,intermediate
